Name,Continent,Population,Land Area,Landlocked,Flag Colours,Alias
Afghanistan,Asia,32890171,652867,Yes,,
Albania,Europe,2793592,27398,No,,
Algeria,Africa,45400000,2381741,No,,
Andorra,Europe,82041,468,Yes,,
Angola,Africa,33086278,1246700,No,,
Antigua and Barbuda,North America,100772,442,No,,
Argentina,South America,46044703,2736690,No,,
Armenia,Europe,2981200,28342,Yes,,
Australia,Oceania,26483860,7633565,No,,
Austria,Europe,9106126,82445,Yes,,
Azerbaijan,Asia,10135373,86100,Yes,,
Bahamas,North America,397360,10010,No,,
Bahrain,Asia,1501635,786,No,,
Bangladesh,Asia,169828911,134208,No,,
Barbados,North America,282000,431,No,,
Belarus,Europe,9200617,202900,Yes,,
Belgium,Europe,11750239,30278,No,,
Belize,North America,441471,22806,No,,
Benin,Africa,12506347,114305,No,,
Bhutan,Asia,763200,38394,Yes,,
Bolivia,South America,12006031,1083301,No,,
Bosnia and Herzegovina,Europe,3320954,51187,No,,
Botswana,Africa,2410338,566730,Yes,,
Brazil,South America,216152854,8460415,No,,
Brunei,Asia,440715,5265,No,,
Bulgaria,Europe,6447710,108612,No,,
Burkina Faso,Africa,22185654,273602,Yes,,
Burundi,Africa,12574571,25680,Yes,,
Côte d'Ivoire,Africa,29389150,318003,No,,
Cabo Verde,Africa,569509,4033,No,,
Cambodia,Asia,15552211,176515,No,,
Cameroon,Africa,24348251,472710,No,,
Canada,North America,39906849,9093507,No,,
Central African Republic,Africa,5633412,622984,Yes,,
Chad,Africa,16818391,1259200,Yes,,
Chile,South America,19960889,743812,No,,
China,Asia,1411750000,9326410,No,,
Colombia,South America,52215503,1038700,No,,
Comoros,Africa,758316,1862,No,,
Congo (Congo-Brazzaville),Africa,5970000,341500,No,,
Costa Rica,North America,5213362,51060,No,,
Croatia,Europe,3871833,55974,No,,
Cuba,North America,11089511,109884,No,,
Cyprus,"[Asia,Europe]",918100,9241,No,,
Czechia (Czech Republic),Europe,10533399,77171,Yes,,
Democratic Republic of the Congo,Africa,99010000,2267048,No,,
Denmark,Europe,5941388,42434,No,,
Djibouti,Africa,1001454,23180,No,,
Dominica,North America,73000,751,No,,
Dominican Republic,North America,10535535,48320,No,,
Ecuador,South America,18293879,256369,No,,
Egypt,"[Africa,Asia]",104822069,995450,No,,
El Salvador,North America,6884888,20721,No,,
Equatorial Guinea,Africa,1505588,28051,No,,
Eritrea,Africa,3684000,125000,No,,
Estonia,Europe,1357739,42388,No,,
"Eswatini (fmr. ""Swaziland"")",Africa,1202000,17204,Yes,,
Ethiopia,Africa,105163988,1096630,Yes,,
Fiji,Oceania,893468,18274,No,,
Finland,Europe,5538238,303816,No,,
France,Europe,68042591,640427,No,,
Gabon,Africa,2233272,257667,No,,
Gambia,Africa,2706000,10000,No,,
Georgia,"[Asia,Europe]",3688600,69700,No,,
Germany,Europe,84270625,348672,No,,
Ghana,Africa,30832019,227533,No,,
Greece,Europe,10482487,130647,No,,
Grenada,North America,125000,344,No,,
Guatemala,North America,17109746,107159,No,,
Guinea,Africa,12907395,245717,No,,
Guinea-Bissau,Africa,1646077,28120,No,,
Guyana,South America,743699,196849,No,,
Haiti,North America,11743017,27560,No,,
Holy See,Europe,825,0,Yes,,
Honduras,North America,9546178,111890,No,,
Hungary,Europe,9678000,89608,Yes,,
Iceland,Europe,390830,100250,No,,
India,Asia,1392329000,2973190,No,,
Indonesia,Asia,277749853,1811569,No,,
Iran,Asia,86443940,1531595,No,,
Iraq,Asia,41190700,437367,No,,
Ireland,Europe,5123536,68883,No,,
Israel,Asia,9722240,20330,No,,
Italy,Europe,58815463,294140,No,,
Jamaica,North America,2727503,10831,No,,
Japan,Asia,124470000,364546,No,,
Jordan,Asia,11395642,88802,No,,
Kazakhstan,Asia,19859260,2699700,Yes,,
Kenya,Africa,47564296,569140,No,,
Kiribati,Oceania,120740,811,No,,
Kuwait,Asia,4670713,17818,No,,
Kyrgyzstan,Asia,7100000,191801,Yes,,
Laos,Asia,7337783,230800,Yes,,
Latvia,Europe,1885400,62249,No,,
Lebanon,Asia,5490000,10230,No,,
Lesotho,Africa,2306000,30355,Yes,,
Liberia,Africa,4661010,96320,No,,
Libya,Africa,6812000,1759540,No,,
Liechtenstein,Europe,39680,160,Yes,,
Lithuania,Europe,2862274,62680,No,,
Luxembourg,Europe,660809,2586,Yes,,
Madagascar,Africa,26923353,581540,No,,
Malawi,Africa,21507723,94080,Yes,,
Malaysia,Asia,33037300,329613,No,,
Maldives,Asia,397372,298,No,,
Mali,Africa,22594000,1220190,Yes,,
Malta,Europe,519562,316,No,,
Marshall Islands,Oceania,39262,181,No,,
Mauritania,Africa,4372037,1025520,No,,
Mauritius,Africa,1261196,2030,No,,
Mexico,North America,128665641,1943945,No,,
Micronesia,Oceania,105754,702,No,,
Moldova,Europe,2597100,32891,Yes,,
Monaco,Europe,39150,2,No,,
Mongolia,Asia,3497600,1553556,Yes,,
Montenegro,Europe,617683,13452,No,,
Morocco,Africa,36956969,446300,No,,
Mozambique,Africa,32419747,786380,No,,
Myanmar (formerly Burma),Asia,55770232,653508,No,,
Namibia,Africa,2550226,823290,No,,
Nauru,Oceania,11832,21,No,,
Nepal,Asia,29164578,143686,Yes,,
Netherlands,Europe,17868940,33893,No,,
New Zealand,Oceania,5165828,262443,No,,
Nicaragua,North America,6595674,119990,No,,
Niger,Africa,24112753,1266700,Yes,,
Nigeria,Africa,218541000,910768,No,,
North Korea,Asia,25660000,120538,No,,
North Macedonia,Europe,1832696,25433,Yes,,
Norway,Europe,5504329,365957,No,,
Oman,Asia,5009188,309500,No,,
Pakistan,Asia,239017494,856690,No,,
Palau,Oceania,16733,459,No,,
Palestine State,Asia,5483450,6000,?,,
Panama,North America,4278500,74340,No,,
Papua New Guinea,Asia,9122994,452860,No,,
Paraguay,South America,7353038,397302,Yes,,
Peru,South America,33396698,1279996,No,,
Philippines,Asia,110587187,298170,No,,
Poland,Europe,37738000,311888,No,,
Portugal,Europe,10421117,91119,No,,
Qatar,Asia,2799202,11586,No,,
Romania,Europe,19053815,231291,Yes,,
Russia,"[Europe,Asia]",146424729,16378410,No,,
Rwanda,Africa,13246394,24668,Yes,,
Saint Kitts and Nevis,North America,48000,261,No,,
Saint Lucia,North America,178696,606,No,,
Saint Vincent and the Grenadines,North America,110696,389,No,,
Samoa,Oceania,205557,2821,No,,
San Marino,Europe,33823,61,Yes,,
Sao Tome and Principe,Africa,214610,964,No,,
Saudi Arabia,Asia,34110821,2149690,No,,
Senegal,Africa,17223497,192530,No,,
Serbia,Europe,6647003,88246,Yes,,
Seychelles,Africa,100447,455,No,,
Sierra Leone,Africa,8494260,71620,No,,
Singapore,Asia,5453600,716,No,,
Slovakia,Europe,5428792,48105,Yes,,
Slovenia,Europe,2116972,20151,No,,
Solomon Islands,Oceania,728041,27986,No,,
Somalia,Africa,17598000,627337,No,,
South Africa,Africa,60604992,1214470,No,,
South Korea,Asia,51439038,99909,No,,
South Sudan,Africa,13249924,644329,Yes,,
Spain,Europe,47615034,498980,No,,
Sri Lanka,Asia,22181000,62732,No,,
Sudan,Africa,45399675,1731671,No,,
Suriname,South America,616500,156000,No,,
Sweden,Europe,10533267,407284,No,,
Switzerland,Europe,8812728,39997,Yes,,
Syria,Asia,22125000,183630,No,,
Tajikistan,Asia,9506000,141510,Yes,,
Tanzania,Africa,61741120,885800,No,,
Thailand,Asia,66001370,510890,No,,
Timor-Leste,Asia,1336222,14919,No,,
Togo,Africa,8095498,54385,No,,
Tonga,Oceania,100179,717,No,,
Trinidad and Tobago,North America,1365805,5128,No,,
Tunisia,Africa,11803588,155360,No,,
Turkey,"[Europe,Asia]",85279553,769632,No,,
Turkmenistan,Asia,6431000,469930,Yes,,
Tuvalu,Oceania,10679,26,No,,
Uganda,Africa,42885900,197100,Yes,,
Ukraine,Europe,41130432,579300,No,,
United Arab Emirates,Asia,9282410,83600,No,,
United Kingdom,Europe,67026292,241930,No,,
United States of America,North America,334769000,9147593,No,,
Uruguay,South America,3554915,175015,No,,
Uzbekistan,Asia,36224972,425400,Yes,,
Vanuatu,Oceania,301295,12189,No,,
Venezuela,South America,28302000,882050,No,,
Vietnam,Asia,99460000,310070,No,,
Yemen,Asia,33697000,555000,No,,
Zambia,Africa,19610769,743398,Yes,,
Zimbabwe,Africa,15178979,386847,Yes,,
